DAY,Section,ROOM1,8 to 9,9 to 10,10 to 11,ROOM2,11 to 12,12 to 1,1 to 2,Section(DE),ROOM3,3 to 4,ROOM4,4 to 5,ROOM5,5 to 6
MON,CSE-1,C-WL-101,CN,CN(L),CN(L),C-LH-004,SE,X,X,CRP_CS-1,C-LH-201,CRP(DE),X,X,X,X
MON,CSE-2,X,X,X,X,C-LH-003,HPC,SE,CN,CRP_CS-2,C-LH-202,CRP(DE),X,X,X,X
MON,CSE-3,X,X,X,X,C-LH-002,CN,HPC,SE,CRP_CS-3,C-LH-203,CRP(DE),X,X,X,X
MON,CSE-4,C-LH-201,X,SE,HPC,C-WL-101,DAA,DAA(L),DAA(L),CRP_CS-4,C-LH-204,CRP(DE),X,X,X,X
MON,CSE-5,C-LH-202,X,HPC,DAA,C-LH-001,SE,X,X,AI_CS-1,X,X,C-LH-201,AI(DE),X,X
MON,CSE-6,C-LH-203,X,X,DAA,C-LH-409,SE,X,X,AI_CS-2,C-LH-205,AI(DE),X,X,X,X
MON,CSE-7,C-LH-204,X,X,CN,C-LH-408,HPC,SE,X,AI_CS-3,C-LH-206,AI(DE),X,X,X,X
MON,CSE-8,C-LH-205,X,X,SE,C-LH-407,CN,HPC,X,AI_CS-4,C-LH-207,AI(DE),X,X,X,X
MON,CSE-9,C-LH-206,X,X,HPC,C-WL-102,DAA,DAA(L),DAA(L),AI_CS-5,C-LH-208,AI(DE),X,X,X,X
MON,CSE-10,C-LH-207,X,SE,HPC,C-LH-406,CN,DAA,X,AI_CS-6,C-LH-301,AI(DE),X,X,X,X
MON,CSE-11,C-WL-102,CN,CN(L),CN(L),C-LH-405,DAA,SE,X,AI_CS-7,C-LH-302,AI(DE),X,X,X,X
MON,CSE-12,C-LH-208,SE,DAA,HPC,X,X,X,X,AI_CS-8,C-LH-303,AI(DE),X,X,X,X
MON,CSE-13,C-LH-301,HPC,CN,DAA,C-LH-404,SE,X,X,AI_CS-9,C-LH-304,AI(DE),X,X,X,X
MON,CSE-14,C-LH-302,X,CN,SE,C-WL-103,DAA,DAA(L),DAA(L),AI_CS-10,C-LH-305,AI(DE),X,X,X,X
MON,CSE-15,C-LH-303,X,HPC,SE,X,X,X,X,AI_CS-11,C-LH-306,AI(DE),X,X,X,X
MON,CSE-16,C-WL-103,CN,CN(L),CN(L),C-LH-403,SE,X,X,AI_CS-12,C-LH-307,AI(DE),X,X,X,X
MON,CSE-17,C-LH-304,SE,CN,HPC,C-LH-402,DAA,X,X,AI_CS-13,C-LH-308,AI(DE),X,X,X,X
MON,CSE-18,C-LH-305,X,CN,SE,C-LH-401,DAA,HPC,X,AI_CS-14,X,X,C-LH-202,AI(DE),X,X
